"laptop_ID","Company","Product","TypeName","Inches","ScreenResolution","RamGB","OpSys","Weight","Price_euros","Procesor","TaktGHz","Karta Graficzna","Memory","Memory_type"
"1","Apple","MacBook Pro","Ultrabook","13.3","IPS Panel Retina Display 2560x1600","8","macOS","1.37","1339.69","Intel Core-i5","2.3","Intel Iris","128","SSD"
"2","Apple","Macbook Air","Ultrabook","13.3","1440x900","8","macOS","1.34","898.94","Intel Core-i5","1.8","Intel HD","128","Flash_Storage"
"3","HP","250 G6","Notebook","15.6","Full HD 1920x1080","8","No OS","1.86","575","Intel Core-i5","2.5","Intel HD","256","SSD"
"4","Apple","MacBook Pro","Ultrabook","15.4","IPS Panel Retina Display 2880x1800","16","macOS","1.83","2537.45","Intel Core-i7","2.7","AMD Radeon","512","SSD"
"5","Apple","MacBook Pro","Ultrabook","13.3","IPS Panel Retina Display 2560x1600","8","macOS","1.37","1803.6","Intel Core-i5","3.1","Intel Iris","256","SSD"
"6","Acer","Aspire 3","Notebook","15.6","1366x768","4","Windows 10","2.1","400","AMD Series","3","AMD Radeon","500","HDD"
"7","Apple","MacBook Pro","Ultrabook","15.4","IPS Panel Retina Display 2880x1800","16","Mac OS X","2.04","2139.97","Intel Core-i7","2.2","Intel Iris","256","Flash_Storage"
"8","Apple","Macbook Air","Ultrabook","13.3","1440x900","8","macOS","1.34","1158.7","Intel Core-i5","1.8","Intel HD","256","Flash_Storage"
"9","Asus","ZenBook UX430UN","Ultrabook","14","Full HD 1920x1080","16","Windows 10","1.3","1495","Intel Core-i7","1.8","Nvidia GeForce","512","SSD"
"10","Acer","Swift 3","Ultrabook","14","IPS Panel Full HD 1920x1080","8","Windows 10","1.6","770","Intel Core-i5","1.6","Intel UHD","256","SSD"
"11","HP","250 G6","Notebook","15.6","1366x768","4","No OS","1.86","393.9","Intel Core-i5","2.5","Intel HD","500","HDD"
"12","HP","250 G6","Notebook","15.6","Full HD 1920x1080","4","No OS","1.86","344.99","Intel Core-i3","2","Intel HD","500","HDD"
"13","Apple","MacBook Pro","Ultrabook","15.4","IPS Panel Retina Display 2880x1800","16","macOS","1.83","2439.97","Intel Core-i7","2.8","AMD Radeon","256","SSD"
"14","Dell","Inspiron 3567","Notebook","15.6","Full HD 1920x1080","4","Windows 10","2.2","498.9","Intel Core-i3","2","AMD Radeon","256","SSD"
"15","Apple","MacBook 12""","Ultrabook","12","IPS Panel Retina Display 2304x1440","8","macOS","0.92","1262.4","Intel","1.2","Intel HD","256","SSD"
"16","Apple","MacBook Pro","Ultrabook","13.3","IPS Panel Retina Display 2560x1600","8","macOS","1.37","1518.55","Intel Core-i5","2.3","Intel Iris","256","SSD"
"17","Dell","Inspiron 3567","Notebook","15.6","Full HD 1920x1080","8","Windows 10","2.2","745","Intel Core-i7","2.7","AMD Radeon","256","SSD"
"18","Apple","MacBook Pro","Ultrabook","15.4","IPS Panel Retina Display 2880x1800","16","macOS","1.83","2858","Intel Core-i7","2.9","AMD Radeon","512","SSD"
"19","Lenovo","IdeaPad 320-15IKB","Notebook","15.6","Full HD 1920x1080","8","No OS","2.2","499","Intel Core-i3","2.4","Nvidia GeForce","1024","HDD"
"20","Dell","XPS 13","Ultrabook","13.3","IPS Panel Full HD / Touchscreen 1920x1080","8","Windows 10","1.22","979","Intel Core-i5","1.6","Intel UHD","128","SSD"
"21","Asus","Vivobook E200HA","Netbook","11.6","1366x768","2","Windows 10","0.98","191.9","Intel","1.44","Intel HD","32","Flash_Storage"
"22","Lenovo","Legion Y520-15IKBN","Gaming","15.6","IPS Panel Full HD 1920x1080","8","Windows 10","2.5","999","Intel Core-i5","2.5","Nvidia GeForce","1024","HDD"
"23","HP","255 G6","Notebook","15.6","1366x768","4","No OS","1.86","258","AMD Series","1.5","AMD Radeon","500","HDD"
"24","Dell","Inspiron 5379","2 in 1 Convertible","13.3","Full HD / Touchscreen 1920x1080","8","Windows 10","1.62","819","Intel Core-i5","1.6","Intel UHD","256","SSD"
"25","HP","15-BS101nv (i7-8550U/8GB/256GB/FHD/W10)","Ultrabook","15.6","Full HD 1920x1080","8","Windows 10","1.91","659","Intel Core-i7","1.8","Intel HD","256","SSD"
"26","Dell","Inspiron 3567","Notebook","15.6","1366x768","4","Windows 10","2.3","418.64","Intel Core-i3","2","Intel HD","1024","HDD"
"27","Apple","MacBook Air","Ultrabook","13.3","1440x900","8","Mac OS X","1.35","1099","Intel Core-i5","1.6","Intel HD","128","Flash_Storage"
"28","Dell","Inspiron 5570","Notebook","15.6","Full HD 1920x1080","8","Windows 10","2.2","800","Intel Core-i5","1.6","AMD Radeon","256","SSD"
"29","Dell","Latitude 5590","Ultrabook","15.6","Full HD 1920x1080","8","Windows 10","1.88","1298","Intel Core-i7","1.9","Intel UHD","512","SSD"
"30","HP","ProBook 470","Notebook","17.3","Full HD 1920x1080","8","Windows 10","2.5","896","Intel Core-i5","1.6","Nvidia GeForce","1024","HDD"
"31","Chuwi","LapBook 15.6""","Notebook","15.6","Full HD 1920x1080","4","Windows 10","1.89","244.99","Intel","1.44","Intel HD","64","Flash_Storage"
"32","Asus","E402WA-GA010T (E2-6110/2GB/32GB/W10)","Notebook","14","1366x768","2","Windows 10","1.65","199","AMD Series","1.5","AMD Radeon","32","Flash_Storage"
"33","HP","17-ak001nv (A6-9220/4GB/500GB/Radeon","Notebook","17.3","Full HD 1920x1080","4","Windows 10","2.71","439","AMD Series","2.5","AMD Radeon","500","HDD"
"34","Dell","XPS 13","Ultrabook","13.3","Touchscreen / Quad HD+ 3200x1800","16","Windows 10","1.2","1869","Intel Core-i7","1.8","Intel UHD","512","SSD"
"35","Apple","MacBook Air","Ultrabook","13.3","1440x900","8","Mac OS X","1.35","998","Intel Core-i5","1.6","Intel HD","256","Flash_Storage"
